repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions
codecrafters-io/build-your-own-x,479558,1201,2869,445,Markdown,100,1,6374.7,10,0,0,1
sindresorhus/awesome,446332,1534,4267,83,unknown,35,20,21.7,5,0,0,1
freeCodeCamp/freeCodeCamp,438404,556507,4101,232,TypeScript,85,20,14.3,11,0,0,1
public-apis/public-apis,411485,5012,3649,1006,Python,0,20,,0,0,0,1
EbookFoundation/free-programming-books,384160,21056,4541,72,Python,75,20,98.4,9,0,0,1
kamranahmedse/developer-roadmap,351074,359973,3289,23,TypeScript,95,20,0.1,17,0,0,1
donnemartin/system-design-primer,339205,11276,3306,518,Python,,0,1429.6,6,0,0,0
jwasham/coding-interview-university,337910,22700,3572,98,unknown,100,15,1142.3,4,0,0,1
openclaw/openclaw,320005,306241,113,14351,TypeScript,100,20,,0,1.56,20,1
vinta/awesome-python,287631,4767,4281,16,Python,0,20,14.6,4,0,0,1
awesome-selfhosted/awesome-selfhosted,280587,16792,3943,0,unknown,,0,52.5,8,0,0,0
996icu/996.ICU,275787,189351,2548,16700,unknown,,0,48.5,13,0,0,0
practical-tutorials/project-based-learning,261150,438,3262,281,unknown,,0,728.6,6,0,0,0
facebook/react,244004,942788,4680,1172,JavaScript,35,20,26.7,8,0.23,3,1
torvalds/linux,223310,6094144,5308,3,C,0,3,,0,0,0,1
TheAlgorithms/Python,218784,15734,3531,889,Python,95,20,0.5,1,0,0,1
trimstray/the-book-of-secret-knowledge,210458,1748,2824,120,unknown,0,1,2244.9,6,0,0,1
vuejs/vue,209998,32152,4615,623,TypeScript,0,6,12.4,2,0,0,1
ossu/computer-science,202519,1771,4336,20,HTML,50,20,1.2,9,0,0,1
trekhleb/javascript-algorithms,195773,14903,2915,396,JavaScript,45,20,0.1,3,0,0,1
tensorflow/tensorflow,194201,1290652,3784,3774,C++,90,20,12.6,8,0.23,3,1
ohmyzsh/ohmyzsh,185437,13480,6045,529,Shell,95,20,33.8,12,0,0,1
getify/You-Dont-Know-JS,184497,15241,4505,2,unknown,100,2,0.1,2,0,0,1
CyC2018/CS-Notes,183952,116179,2954,195,unknown,,0,,0,0,0,0
microsoft/vscode,182772,1155437,3848,15405,TypeScript,55,20,2.1,16,0.86,11,1
Significant-Gravitas/AutoGPT,182539,394674,1097,369,Python,70,20,24,15,0.86,11,1
jackfrued/Python-100-Days,179743,401413,2938,693,Jupyter Notebook,0,5,,0,0,0,1
n8n-io/n8n,179651,422605,2460,1427,TypeScript,25,20,21.3,17,1.56,20,1
flutter/flutter,175590,433844,4029,12481,Dart,30,20,4.7,19,0,0,1
twbs/bootstrap,174084,279932,5345,478,MDX,80,20,0.1,7,0,0,1
github/gitignore,173058,2994,5608,109,unknown,85,20,425.3,20,0,0,1
massgravel/Microsoft-Activation-Scripts,169077,12790,2256,3,Batchfile,,0,9.1,1,0.08,1,0
avelino/awesome-go,167577,10983,4272,172,Go,30,20,0,16,0,0,1
ollama/ollama,165378,74737,995,2669,Go,25,20,4,14,1.56,20,1
AUTOMATIC1111/stable-diffusion-webui,161839,36552,1303,2470,Python,30,20,125.7,2,0,0,1
jlevy/the-art-of-command-line,160362,2772,3954,256,unknown,,0,134.9,11,0,0,0
huggingface/transformers,157983,456244,2696,2346,Python,35,20,16.8,15,0.78,10,1
Snailclimb/JavaGuide,154301,179863,2871,67,Java,60,20,21.7,16,0,0,1
f/prompts.chat,153075,232397,1198,34,HTML,45,20,1.8,6,0,0,1
DigitalPlatDev/FreeDomain,152844,969,656,31,HTML,,0,377.7,1,0,0,0
yt-dlp/yt-dlp,151735,60189,1969,2380,Python,80,20,17.4,10,0.47,6,1
airbnb/javascript,148121,3727,4884,189,JavaScript,30,20,5.7,2,0,0,1
521xueweihan/HelloGitHub,146469,8933,3605,298,Python,,0,0.6,1,0.23,3,0
langflow-ai/langflow,145780,1181942,1133,882,Python,75,20,67.9,14,1.01,13,1
ytdl-org/youtube-dl,139894,65510,5616,4118,Python,70,20,191.1,2,0,0,1
vercel/next.js,138366,2513581,3450,3473,JavaScript,35,20,17.7,16,1.56,20,1
yangshun/tech-interview-handbook,138190,32858,3543,64,TypeScript,0,20,12.1,17,0,0,1
Genymobile/scrcpy,137119,8102,3038,2756,C,86,7,256.1,5,0.08,1,1
langgenius/dify,133238,320030,1070,787,TypeScript,80,20,9,16,0.62,8,1
golang/go,133085,428690,4229,9867,Go,5,20,,0,0,0,1
supabase/supabase,99156,2303017,2349,937,TypeScript,65,20,1.2,13,0.23,3,1
2dust/v2rayN,99030,46321,2423,28,C#,100,20,7,16,1.01,13,1
Anduin2017/HowToCook,98891,465174,2208,471,Dockerfile,90,20,8.9,17,0,0,1
ggml-org/llama.cpp,98360,331674,1103,1284,C++,75,20,40,9,1.56,20,1
pytorch/pytorch,98353,1272072,3504,18075,Python,70,20,13.7,1,0.08,1,1
mtdvio/every-programmer-should-know,98268,226,3127,22,unknown,,0,9934.6,11,0,0,0
google-gemini/gemini-cli,98098,60943,334,2891,TypeScript,100,20,16.1,4,1.56,20,1
mui/material-ui,98050,716533,4229,1729,JavaScript,100,20,25.2,16,0.54,7,1
ant-design/ant-design,97748,257325,3980,1363,TypeScript,100,20,1.4,19,1.01,13,1
neovim/neovim,97283,373562,4428,1949,Vim Script,70,20,121.5,16,0.23,3,1
fastapi/fastapi,96301,37020,2656,165,Python,70,20,27.3,9,1.56,20,1
openai/whisper,96138,12792,1278,116,Python,75,20,1192.4,5,0,0,1
anthropics/skills,95875,3337,176,503,Python,15,20,,0,0,0,1
nvbn/thefuck,95714,4043,3996,411,Python,0,5,4161.8,6,0,0,1
microsoft/Web-Dev-For-Beginners,95428,2194696,1954,44,JavaScript,55,20,39.7,17,0,0,1
immich-app/immich,95005,279688,1503,658,TypeScript,95,20,38,13,0.54,7,1
firecrawl/firecrawl,94353,84317,701,219,TypeScript,25,20,0.8,11,0.08,1,1
ryanmcdermott/clean-code-javascript,94319,520,3399,122,JavaScript,,0,13631.9,1,0,0,0
tailwindlabs/tailwindcss,94102,113429,3084,97,TypeScript,75,20,9.5,12,0.16,2,1
puppeteer/puppeteer,93854,1335544,3234,296,TypeScript,80,20,6.3,17,1.56,20,1
iluwatar/java-design-patterns,93808,47540,4238,215,Java,100,20,5645.1,11,0,0,1
nvm-sh/nvm,92362,4054,5815,386,Shell,85,20,3679.7,9,0.08,1,1
deepseek-ai/DeepSeek-R1,91958,1571,421,44,unknown,100,20,1671.1,4,0,0,1
obra/superpowers,91565,1909,159,142,Shell,0,20,30.6,3,0.08,1,1
florinpop17/app-ideas,91304,648,2577,594,unknown,,0,,0,0,0,0
microsoft/markitdown,90874,4235,489,470,Python,40,20,94.4,11,0.16,2,1
PanJiaChen/vue-element-admin,90287,15433,3257,1372,Vue,,0,1.4,1,0,0,0
storybookjs/storybook,89469,1108072,3652,2198,TypeScript,75,20,20.4,20,1.56,20,1
bitcoin/bitcoin,88523,310016,5567,689,C++,35,20,88.2,11,0.23,3,1
rasbt/LLMs-from-scratch,88477,15703,968,4,Jupyter Notebook,100,20,0.4,16,0,0,1
gin-gonic/gin,88282,10587,4292,646,Go,95,20,15.3,10,0.08,1,1
oven-sh/bun,88207,448368,1799,6208,Zig,80,20,14.2,4,0.39,5,1
ChatGPTNextWeb/NextChat,87523,20721,1103,798,TypeScript,25,20,,0,0,0,1
gohugoio/hugo,87124,138221,4639,265,Go,65,20,2.5,11,1.48,19,1
django/django,87080,278027,5072,433,Python,10,20,405.3,10,0,0,1
mermaid-js/mermaid,86738,264076,4154,1608,TypeScript,60,20,556.9,18,0.7,9,1
opencv/opencv,86635,554332,4989,2736,C++,15,20,105.3,12,0.08,1,1
ruanyf/weekly,86226,7498,2712,7307,unknown,,0,2.6,14,0,0,0
sveltejs/svelte,86092,119631,3404,968,JavaScript,35,20,11.5,16,1.56,20,1
home-assistant/core,85404,797697,4564,3583,Python,35,20,60.7,17,1.56,20,1
3b1b/manim,85331,76609,4013,476,Python,0,8,3506.7,15,0,0,1
microsoft/ML-For-Beginners,84516,2221788,1841,1,Jupyter Notebook,65,20,162.6,18,0,0,1
microsoft/playwright,84419,227958,2314,611,TypeScript,20,20,11.2,16,0.23,3,1
louislam/uptime-kuma,84184,35207,1719,709,JavaScript,95,20,5.9,10,0.78,10,1
laravel/laravel,83987,10957,5397,31,Blade,95,20,3.8,9,0.47,6,1
MunGell/awesome-for-beginners,83601,916,3797,115,unknown,100,20,180.9,1,0,0,1
punkpeye/awesome-mcp-servers,83355,11131,473,920,unknown,85,20,27.7,8,0,0,1
macrozheng/mall,83169,58728,2905,12,Java,,0,,0,0,0,0
realworld-apps/realworld,83007,35254,3672,34,TypeScript,95,20,577.7,1,0,0,1
affaan-m/everything-claude-code,82753,16827,59,60,JavaScript,5,20,13,17,0.78,10,1
Avik-Jain/100-Days-Of-ML-Code,49949,10955,2812,66,unknown,,0,,0,0,0,0
mastodon/mastodon,49758,356323,3676,4413,Ruby,95,20,15,19,1.01,13,1
cypress-io/cypress,49611,534642,4032,1212,TypeScript,30,20,65.5,19,0.47,6,1
odoo/odoo,49591,14607014,4326,9515,Python,,0,,0,0,0,0
upstash/context7,49464,19082,356,163,TypeScript,50,20,0.6,18,1.56,20,1
NARKOZ/hacker-scripts,49435,105,3769,69,JavaScript,,0,455.9,8,0,0,0
jellyfin/jellyfin,49405,71416,2656,881,C#,55,20,54.7,14,0.08,1,1
lyswhut/lx-music-desktop,49361,79039,2407,1100,TypeScript,30,20,20.1,14,0.08,1,1
dkhamsing/open-source-ios-apps,49271,29940,4068,1,unknown,85,20,21.6,14,0,0,1
virattt/ai-hedge-fund,49227,3033,473,90,Python,100,1,14.7,4,0,0,1
karpathy/nanochat,49220,1706,155,82,Python,25,4,,0,0,0,1
ChrisTitusTech/winutil,49199,13747,1420,19,PowerShell,35,20,2.6,12,0.7,9,1
AlistGo/alist,49169,6195,1910,566,Go,75,20,117.4,19,0.23,3,1
sansan0/TrendRadar,49152,30085,323,47,Python,100,20,,0,0,0,1
dbeaver/dbeaver,49145,212434,3800,3219,Java,80,20,250.2,19,0.47,6,1
nlohmann/json,49144,241204,4639,101,C++,90,20,98.6,14,0,0,1
huginn/huginn,48885,9015,4756,693,Ruby,50,20,2.1,14,0,0,1
TanStack/query,48847,100626,2380,176,TypeScript,90,20,2.3,19,1.56,20,1
iamkun/dayjs,48598,6000,2898,1197,JavaScript,55,20,12.5,13,0.08,1,1
JuliaLang/julia,48584,361308,5445,4724,Julia,100,20,117.1,16,0.54,7,1
ReactiveX/RxJava,48485,146270,4816,23,Java,100,20,4.6,17,0,0,1
algorithm-visualizer/algorithm-visualizer,48381,21182,3594,78,JavaScript,,0,906.9,6,0,0,0
pandas-dev/pandas,48167,386329,5685,3680,Python,25,20,10.9,17,0.31,4,1
moment/moment,48043,22191,5496,295,JavaScript,0,6,0.1,1,0,0,1
expo/expo,48020,3572074,3501,847,TypeScript,80,20,35.4,20,0,0,1
hashicorp/terraform,47957,352050,4387,1894,Go,80,20,3.7,11,0.54,7,1
x64dbg/x64dbg,47906,63168,3993,584,C++,75,20,134.2,14,0,0,1
lllyasviel/Fooocus,47883,34158,951,285,Python,94,18,0,3,0,0,1
serhii-londar/open-source-mac-os-apps,47867,5795,3057,38,unknown,0,20,0.1,15,0,0,1
type-challenges/type-challenges,47828,3342,2063,33121,TypeScript,100,20,446,14,0,0,1
freqtrade/freqtrade,47747,718032,3226,46,Python,90,20,2.5,18,0.31,4,1
kelseyhightower/kubernetes-the-hard-way,47745,711,3540,47,unknown,,0,,0,0,0,0
run-llama/llama_index,47739,413879,1232,253,Python,35,20,14.4,16,0.47,6,1
skylot/jadx,47656,25211,4747,416,Java,95,20,17.2,16,0.16,2,1
bigskysoftware/htmx,47639,321299,2164,658,JavaScript,40,20,24.2,16,0,0,1
kamranahmedse/design-patterns-for-humans,47632,149,3316,17,unknown,,0,3114.5,3,0,0,0
ggml-org/whisper.cpp,47628,36214,1269,1151,C++,90,20,71.2,15,0.08,1,1
minimaxir/big-list-of-naughty-strings,47606,330,3874,108,Python,,0,8198.9,14,0,0,0
gogs/gogs,47585,211097,4417,963,Go,80,20,17.7,17,0.93,12,1
karan/Projects,47497,1790,4639,117,unknown,,0,,0,0,0,0
